Membrane potentials for each step (in ms) [0,10000]
P1(171.2)=0 P2(171.2)=0 P115(171.2)=0 P116(171.2)=6.6
P1(171.3)=0 P2(171.3)=0 P115(171.3)=0 P116(171.3)=6.6
P1(171.4)=0 P2(171.4)=0 P115(171.4)=0 P116(171.4)=7.6
P1(171.5)=0 P2(171.5)=0 P115(171.5)=0 P116(171.5)=8.6
P1(171.6)=0 P2(171.6)=0 P115(171.6)=0 P116(171.6)=9.6
P1(171.7)=0 P2(171.7)=0 P115(171.7)=0 P116(171.7)=9.6
P1(171.8)=0 P2(171.8)=0 P115(171.8)=0 P116(171.8)=9.7
P1(171.9)=0 P2(171.9)=0 P115(171.9)=0 P116(171.9)=9.7
P1(172)=0 P2(172)=0 P115(172)=0 P116(172)=9.8
P1(172.1)=0 P2(172.1)=0 P115(172.1)=0 P116(172.1)=10.8
P1(172.2)=0 P2(172.2)=0 P115(172.2)=0 P116(172.2)=10.8
P1(172.3)=0 P2(172.3)=0 P115(172.3)=0 P116(172.3)=10.9
P1(172.4)=0 P2(172.4)=0 P115(172.4)=0 P116(172.4)=11
P1(172.5)=0 P2(172.5)=0 P115(172.5)=0 P116(172.5)=11
P1(172.6)=0 P2(172.6)=0 P115(172.6)=0 P116(172.6)=11
P1(172.7)=0 P2(172.7)=0 P115(172.7)=0 P116(172.7)=12.1
P1(172.8)=0 P2(172.8)=0 P115(172.8)=0 P116(172.8)=12.1
P1(172.9)=0 P2(172.9)=0 P115(172.9)=0 P116(172.9)=12.1
P1(173)=0 P2(173)=0 P115(173)=0 P116(173)=12.2
P1(173.1)=0 P2(173.1)=0 P115(173.1)=0 P116(173.1)=13.2
P1(173.2)=0 P2(173.2)=0 P115(173.2)=0 P116(173.2)=14.2
P1(173.3)=0 P2(173.3)=0 P115(173.3)=0.1 P116(173.3)=14.2
P1(173.4)=0 P2(173.4)=0 P115(173.4)=0.2 P116(173.4)=15.2
P1(173.5)=0 P2(173.5)=0 P115(173.5)=0.3 P116(173.5)=15.2
P1(173.6)=0 P2(173.6)=0 P115(173.6)=1.3 P116(173.6)=15.3
P1(173.7)=0 P2(173.7)=0 P115(173.7)=1.3 P116(173.7)=16.3
P1(173.8)=0 P2(173.8)=0 P115(173.8)=1.3 P116(173.8)=16.3
P1(173.9)=0 P2(173.9)=0 P115(173.9)=1.3 P116(173.9)=17.3
P1(174)=0 P2(174)=0 P115(174)=1.3 P116(174)=17.4
P1(174.1)=0 P2(174.1)=0 P115(174.1)=1.3 P116(174.1)=17.5
P1(174.2)=0 P2(174.2)=0 P115(174.2)=1.3 P116(174.2)=18
P1(174.3)=0 P2(174.3)=0 P115(174.3)=2.3 P116(174.3)=18
P1(174.4)=0 P2(174.4)=0 P115(174.4)=2.3 P116(174.4)=18
P1(174.5)=0 P2(174.5)=0 P115(174.5)=2.3 P116(174.5)=18
P1(174.6)=0 P2(174.6)=0 P115(174.6)=3.4 P116(174.6)=19
P1(174.7)=0 P2(174.7)=0 P115(174.7)=3.4 P116(174.7)=19.1
P1(174.8)=0 P2(174.8)=0 P115(174.8)=4.4 P116(174.8)=19.2
P1(174.9)=0 P2(174.9)=0 P115(174.9)=3.9 P116(174.9)=19.2
P1(175)=0 P2(175)=0 P115(175)=3.9 P116(175)=19.2
P1(175.1)=0 P2(175.1)=0 P115(175.1)=3.9 P116(175.1)=19.2
P1(175.2)=0 P2(175.2)=0 P115(175.2)=3.9 P116(175.2)=19.2
P1(175.3)=0 P2(175.3)=0 P115(175.3)=3.9 P116(175.3)=19.2
P1(175.4)=0 P2(175.4)=0 P115(175.4)=3.9 P116(175.4)=19.2
P1(175.5)=0 P2(175.5)=0 P115(175.5)=3.9 P116(175.5)=20.2
P1(175.6)=0 P2(175.6)=0 P115(175.6)=3.9 P116(175.6)=0
P1(175.7)=0 P2(175.7)=0 P115(175.7)=3.9 P116(175.7)=0
P1(175.8)=0 P2(175.8)=0 P115(175.8)=3.9 P116(175.8)=0
P1(175.9)=0 P2(175.9)=0 P115(175.9)=3.9 P116(175.9)=0
P1(176)=0 P2(176)=0 P115(176)=4.9 P116(176)=0
P1(176.1)=0 P2(176.1)=0 P115(176.1)=5.9 P116(176.1)=0
P1(176.2)=0 P2(176.2)=0 P115(176.2)=6.9 P116(176.2)=0
P1(176.3)=0 P2(176.3)=0 P115(176.3)=6.9 P116(176.3)=0
P1(176.4)=0 P2(176.4)=0 P115(176.4)=6.9 P116(176.4)=0
P1(176.5)=0 P2(176.5)=0 P115(176.5)=6.9 P116(176.5)=0
P1(176.6)=0 P2(176.6)=1 P115(176.6)=6.9 P116(176.6)=0
P1(176.7)=0 P2(176.7)=1 P115(176.7)=6.9 P116(176.7)=0
P1(176.8)=0 P2(176.8)=1.1 P115(176.8)=6.9 P116(176.8)=0
P1(176.9)=0 P2(176.9)=1.1 P115(176.9)=6.9 P116(176.9)=0
P1(177)=0 P2(177)=1.1 P115(177)=6.9 P116(177)=0
P1(177.1)=0 P2(177.1)=3.1 P115(177.1)=9.9 P116(177.1)=0
P1(177.2)=0 P2(177.2)=3.1 P115(177.2)=9.9 P116(177.2)=0
P1(177.3)=0 P2(177.3)=3.1 P115(177.3)=9.9 P116(177.3)=0
P1(177.4)=0 P2(177.4)=3.6 P115(177.4)=9.9 P116(177.4)=0
P1(177.5)=0 P2(177.5)=3.6 P115(177.5)=10.9 P116(177.5)=0
P1(177.6)=0 P2(177.6)=3.6 P115(177.6)=10.9 P116(177.6)=0
P1(177.7)=0 P2(177.7)=3.7 P115(177.7)=10.9 P116(177.7)=0
P1(177.8)=0 P2(177.8)=3.7 P115(177.8)=11.4 P116(177.8)=0
P1(177.9)=0 P2(177.9)=3.7 P115(177.9)=11.4 P116(177.9)=0
P1(178)=0 P2(178)=3.7 P115(178)=12.4 P116(178)=0
P1(178.1)=0 P2(178.1)=3.7 P115(178.1)=12.4 P116(178.1)=0
P1(178.2)=0 P2(178.2)=3.7 P115(178.2)=12.4 P116(178.2)=0
P1(178.3)=0 P2(178.3)=3.7 P115(178.3)=12.4 P116(178.3)=0
P1(178.4)=0 P2(178.4)=4.7 P115(178.4)=12.4 P116(178.4)=0
P1(178.5)=0 P2(178.5)=4.7 P115(178.5)=12.4 P116(178.5)=0
P1(178.6)=0 P2(178.6)=4.7 P115(178.6)=12.4 P116(178.6)=0
P1(178.7)=0 P2(178.7)=5.7 P115(178.7)=12.4 P116(178.7)=0
P1(178.8)=0 P2(178.8)=5.7 P115(178.8)=12.4 P116(178.8)=0
P1(178.9)=0.1 P2(178.9)=5.7 P115(178.9)=12.4 P116(178.9)=0
P1(179)=0.1 P2(179)=5.7 P115(179)=12.5 P116(179)=0
P1(179.1)=0.1 P2(179.1)=7.7 P115(179.1)=12.5 P116(179.1)=0
P1(179.2)=1.1 P2(179.2)=7.7 P115(179.2)=13.5 P116(179.2)=0
P1(179.3)=1.2 P2(179.3)=7.8 P115(179.3)=13.5 P116(179.3)=0
P1(179.4)=2.2 P2(179.4)=8.8 P115(179.4)=13.6 P116(179.4)=0
P1(179.5)=2.2 P2(179.5)=8.8 P115(179.5)=13.6 P116(179.5)=0
P1(179.6)=3.2 P2(179.6)=8.8 P115(179.6)=13.6 P116(179.6)=0
P1(179.7)=3.2 P2(179.7)=8.8 P115(179.7)=13.6 P116(179.7)=0
P1(179.8)=2.7 P2(179.8)=8.8 P115(179.8)=13.6 P116(179.8)=0
P1(179.9)=3.7 P2(179.9)=8.9 P115(179.9)=13.7 P116(179.9)=0
P1(180)=3.7 P2(180)=8.9 P115(180)=13.7 P116(180)=0
P1(180.1)=3.7 P2(180.1)=9.9 P115(180.1)=13.7 P116(180.1)=0
P1(180.2)=3.7 P2(180.2)=9.9 P115(180.2)=13.7 P116(180.2)=0
P1(180.3)=3.7 P2(180.3)=10.9 P115(180.3)=13.7 P116(180.3)=0
P1(180.4)=3.8 P2(180.4)=11 P115(180.4)=13.9 P116(180.4)=0
P1(180.5)=3.3 P2(180.5)=11 P115(180.5)=13.9 P116(180.5)=0
P1(180.6)=3.4 P2(180.6)=11 P115(180.6)=13.9 P116(180.6)=0
P1(180.7)=3.4 P2(180.7)=11 P115(180.7)=13.9 P116(180.7)=0
P1(180.8)=4.4 P2(180.8)=11 P115(180.8)=13.9 P116(180.8)=0
P1(180.9)=4.4 P2(180.9)=11 P115(180.9)=13.9 P116(180.9)=0
P1(181)=5.4 P2(181)=12 P115(181)=13.9 P116(181)=0
P1(181.1)=5.4 P2(181.1)=12 P115(181.1)=13.9 P116(181.1)=0
P1(181.2)=5.4 P2(181.2)=12.2 P115(181.2)=13.9 P116(181.2)=0
P1(181.3)=5.4 P2(181.3)=12.2 P115(181.3)=13.9 P116(181.3)=0
P1(181.4)=5.4 P2(181.4)=12.2 P115(181.4)=13.9 P116(181.4)=0
P1(181.5)=5.4 P2(181.5)=14.3 P115(181.5)=13.9 P116(181.5)=0
P1(181.6)=5.4 P2(181.6)=14.3 P115(181.6)=13.9 P116(181.6)=0
P1(181.7)=5.4 P2(181.7)=14.3 P115(181.7)=15 P116(181.7)=0
P1(181.8)=5.4 P2(181.8)=14.4 P115(181.8)=15 P116(181.8)=0
P1(181.9)=5.4 P2(181.9)=14.4 P115(181.9)=15 P116(181.9)=0
P1(182)=6.4 P2(182)=14.4 P115(182)=15 P116(182)=0
P1(182.1)=6.9 P2(182.1)=13.9 P115(182.1)=16 P116(182.1)=0
P1(182.2)=6.9 P2(182.2)=13.9 P115(182.2)=16 P116(182.2)=0
P1(182.3)=6.9 P2(182.3)=13.9 P115(182.3)=16 P116(182.3)=0
P1(182.4)=7.9 P2(182.4)=13.9 P115(182.4)=16.1 P116(182.4)=0
P1(182.5)=7.9 P2(182.5)=13.9 P115(182.5)=17.2 P116(182.5)=0
P1(182.6)=8.9 P2(182.6)=13.9 P115(182.6)=17.2 P116(182.6)=0
P1(182.7)=8.9 P2(182.7)=13.9 P115(182.7)=17.3 P116(182.7)=0
P1(182.8)=8.9 P2(182.8)=13.9 P115(182.8)=17.3 P116(182.8)=0
P1(182.9)=8.9 P2(182.9)=13.9 P115(182.9)=17.3 P116(182.9)=0
P1(183)=8.9 P2(183)=13.9 P115(183)=18.3 P116(183)=0
P1(183.1)=8.9 P2(183.1)=13.9 P115(183.1)=18.3 P116(183.1)=0
P1(183.2)=8.9 P2(183.2)=13.4 P115(183.2)=18.3 P116(183.2)=0
P1(183.3)=8.9 P2(183.3)=13.4 P115(183.3)=19.3 P116(183.3)=0
P1(183.4)=8.9 P2(183.4)=14.9 P115(183.4)=19.3 P116(183.4)=0
P1(183.5)=8.9 P2(183.5)=14.9 P115(183.5)=19.3 P116(183.5)=0
P1(183.6)=8.9 P2(183.6)=14.9 P115(183.6)=19.3 P116(183.6)=0
P1(183.7)=8.9 P2(183.7)=16.9 P115(183.7)=19.3 P116(183.7)=0
P1(183.8)=8.9 P2(183.8)=16.9 P115(183.8)=19.4 P116(183.8)=0
P1(183.9)=8.9 P2(183.9)=16.9 P115(183.9)=19.4 P116(183.9)=0
P1(184)=9 P2(184)=16.9 P115(184)=19.4 P116(184)=0
P1(184.1)=9 P2(184.1)=17 P115(184.1)=19.4 P116(184.1)=0
P1(184.2)=9 P2(184.2)=17 P115(184.2)=19.4 P116(184.2)=0
P1(184.3)=11 P2(184.3)=17 P115(184.3)=19.4 P116(184.3)=0
P1(184.4)=11 P2(184.4)=17.1 P115(184.4)=20.4 P116(184.4)=0
P1(184.5)=11 P2(184.5)=17.2 P115(184.5)=0 P116(184.5)=0
P1(184.6)=12 P2(184.6)=18.2 P115(184.6)=0 P116(184.6)=0
P1(184.7)=12 P2(184.7)=18.2 P115(184.7)=0 P116(184.7)=0
P1(184.8)=12.1 P2(184.8)=18.2 P115(184.8)=0 P116(184.8)=0
P1(184.9)=12.2 P2(184.9)=18.2 P115(184.9)=0 P116(184.9)=0
P1(185)=12.2 P2(185)=18.2 P115(185)=0 P116(185)=0
P1(185.1)=12.2 P2(185.1)=18.4 P115(185.1)=0 P116(185.1)=0
P1(185.2)=12.2 P2(185.2)=18.4 P115(185.2)=0 P116(185.2)=0
P1(185.3)=12.2 P2(185.3)=18.4 P115(185.3)=0 P116(185.3)=0
P1(185.4)=12.2 P2(185.4)=18.4 P115(185.4)=0 P116(185.4)=0
P1(185.5)=11.7 P2(185.5)=18.4 P115(185.5)=0 P116(185.5)=0
P1(185.6)=11.8 P2(185.6)=18.4 P115(185.6)=0 P116(185.6)=0
P1(185.7)=12.8 P2(185.7)=18.4 P115(185.7)=0 P116(185.7)=0
P1(185.8)=12.6 P2(185.8)=18.4 P115(185.8)=0 P116(185.8)=0
P1(185.9)=12.6 P2(185.9)=19.4 P115(185.9)=0 P116(185.9)=0
P1(186)=13.7 P2(186)=19.5 P115(186)=0 P116(186)=0
P1(186.1)=14.7 P2(186.1)=19.5 P115(186.1)=0 P116(186.1)=0
P1(186.2)=14.7 P2(186.2)=19.5 P115(186.2)=0 P116(186.2)=0
P1(186.3)=14.9 P2(186.3)=19.5 P115(186.3)=0 P116(186.3)=0
P1(186.4)=16 P2(186.4)=20.5 P115(186.4)=0 P116(186.4)=0
P1(186.5)=16 P2(186.5)=0 P115(186.5)=0 P116(186.5)=0
P1(186.6)=16 P2(186.6)=0 P115(186.6)=0 P116(186.6)=0
P1(186.7)=17 P2(186.7)=0 P115(186.7)=0 P116(186.7)=0
P1(186.8)=18 P2(186.8)=0 P115(186.8)=0 P116(186.8)=0
P1(186.9)=19 P2(186.9)=0 P115(186.9)=0 P116(186.9)=0
P1(187)=19 P2(187)=0 P115(187)=0 P116(187)=0
P1(187.1)=20 P2(187.1)=0 P115(187.1)=0 P116(187.1)=0
P1(187.2)=20 P2(187.2)=0 P115(187.2)=0 P116(187.2)=0
P1(187.3)=20.1 P2(187.3)=0 P115(187.3)=0 P116(187.3)=0
P1(187.4)=0 P2(187.4)=0 P115(187.4)=0 P116(187.4)=0
P1(187.5)=0 P2(187.5)=0 P115(187.5)=0 P116(187.5)=0
P1(187.6)=0 P2(187.6)=0 P115(187.6)=0 P116(187.6)=0
P1(187.7)=0 P2(187.7)=0 P115(187.7)=0 P116(187.7)=0
P1(187.8)=0 P2(187.8)=0 P115(187.8)=0 P116(187.8)=0
P1(187.9)=0 P2(187.9)=0 P115(187.9)=0 P116(187.9)=0
P1(188)=0 P2(188)=0 P115(188)=0 P116(188)=0
P1(188.1)=0 P2(188.1)=0 P115(188.1)=0 P116(188.1)=0
P1(188.2)=0 P2(188.2)=0 P115(188.2)=0 P116(188.2)=0
P1(188.3)=0 P2(188.3)=0 P115(188.3)=0 P116(188.3)=0
P1(188.4)=0 P2(188.4)=0 P115(188.4)=0 P116(188.4)=0
P1(188.5)=0 P2(188.5)=0 P115(188.5)=0 P116(188.5)=0
P1(188.6)=0 P2(188.6)=0 P115(188.6)=0 P116(188.6)=0
P1(188.7)=0 P2(188.7)=0 P115(188.7)=0 P116(188.7)=0
P1(188.8)=0 P2(188.8)=0 P115(188.8)=0 P116(188.8)=0
P1(188.9)=0 P2(188.9)=0 P115(188.9)=0 P116(188.9)=0
P1(189)=0 P2(189)=0 P115(189)=0 P116(189)=0
P1(189.1)=0 P2(189.1)=0 P115(189.1)=0 P116(189.1)=0
P1(189.2)=0 P2(189.2)=0 P115(189.2)=0 P116(189.2)=0
P1(189.3)=0 P2(189.3)=0 P115(189.3)=0 P116(189.3)=0
P1(189.4)=0 P2(189.4)=0 P115(189.4)=0 P116(189.4)=0
P1(189.5)=0 P2(189.5)=0 P115(189.5)=0 P116(189.5)=0
P1(189.6)=0 P2(189.6)=0 P115(189.6)=0 P116(189.6)=0
P1(189.7)=0 P2(189.7)=0 P115(189.7)=0 P116(189.7)=0
P1(189.8)=0 P2(189.8)=0 P115(189.8)=0 P116(189.8)=0
P1(189.9)=0 P2(189.9)=0 P115(189.9)=0 P116(189.9)=0
P1(190)=0 P2(190)=0 P115(190)=0 P116(190)=0
P1(190.1)=0 P2(190.1)=0 P115(190.1)=0 P116(190.1)=0
P1(190.2)=0 P2(190.2)=0 P115(190.2)=0 P116(190.2)=0
P1(190.3)=0 P2(190.3)=0 P115(190.3)=0 P116(190.3)=0
P1(190.4)=0 P2(190.4)=0 P115(190.4)=0 P116(190.4)=0
P1(190.5)=0 P2(190.5)=0 P115(190.5)=0 P116(190.5)=0
P1(190.6)=0 P2(190.6)=0 P115(190.6)=0 P116(190.6)=0
P1(190.7)=0 P2(190.7)=0 P115(190.7)=0 P116(190.7)=0
P1(190.8)=0 P2(190.8)=0 P115(190.8)=0 P116(190.8)=0
P1(190.9)=0 P2(190.9)=0 P115(190.9)=0 P116(190.9)=0
P1(191)=0 P2(191)=0 P115(191)=0 P116(191)=0
P1(191.1)=0 P2(191.1)=0 P115(191.1)=0 P116(191.1)=0
P1(191.2)=0 P2(191.2)=0 P115(191.2)=0 P116(191.2)=0
P1(191.3)=0 P2(191.3)=0 P115(191.3)=0 P116(191.3)=0
P1(191.4)=0 P2(191.4)=0 P115(191.4)=0 P116(191.4)=0
P1(191.5)=0 P2(191.5)=0 P115(191.5)=0 P116(191.5)=0
P1(191.6)=0 P2(191.6)=0 P115(191.6)=0 P116(191.6)=0
P1(191.7)=0 P2(191.7)=0 P115(191.7)=0 P116(191.7)=0
P1(191.8)=0 P2(191.8)=0 P115(191.8)=0 P116(191.8)=0
P1(191.9)=0 P2(191.9)=0 P115(191.9)=0 P116(191.9)=0
P1(192)=0 P2(192)=0 P115(192)=0 P116(192)=0
P1(192.1)=0 P2(192.1)=0 P115(192.1)=0 P116(192.1)=0
P1(192.2)=0 P2(192.2)=0 P115(192.2)=0 P116(192.2)=0
P1(192.3)=0 P2(192.3)=0 P115(192.3)=0 P116(192.3)=0
P1(192.4)=0 P2(192.4)=0 P115(192.4)=0 P116(192.4)=0
P1(192.5)=0 P2(192.5)=0 P115(192.5)=0 P116(192.5)=0
P1(192.6)=0 P2(192.6)=0 P115(192.6)=0 P116(192.6)=0
P1(192.7)=0 P2(192.7)=0 P115(192.7)=0 P116(192.7)=0
P1(192.8)=0 P2(192.8)=0 P115(192.8)=0 P116(192.8)=0
P1(192.9)=0 P2(192.9)=0 P115(192.9)=0 P116(192.9)=0
P1(193)=0 P2(193)=0 P115(193)=0 P116(193)=0
P1(193.1)=0 P2(193.1)=0 P115(193.1)=0 P116(193.1)=0
P1(193.2)=0 P2(193.2)=0 P115(193.2)=0 P116(193.2)=0
P1(193.3)=0 P2(193.3)=0 P115(193.3)=0 P116(193.3)=0
P1(193.4)=0 P2(193.4)=0 P115(193.4)=0 P116(193.4)=0
P1(193.5)=0 P2(193.5)=0 P115(193.5)=0 P116(193.5)=0
P1(193.6)=0 P2(193.6)=0 P115(193.6)=0 P116(193.6)=0
P1(193.7)=0 P2(193.7)=0 P115(193.7)=0 P116(193.7)=0
P1(193.8)=0 P2(193.8)=0 P115(193.8)=0 P116(193.8)=0
P1(193.9)=0 P2(193.9)=0 P115(193.9)=0 P116(193.9)=0
P1(194)=0 P2(194)=0 P115(194)=0 P116(194)=0
P1(194.1)=0 P2(194.1)=0 P115(194.1)=0 P116(194.1)=0
P1(194.2)=0 P2(194.2)=0 P115(194.2)=0 P116(194.2)=0
P1(194.3)=0 P2(194.3)=0 P115(194.3)=0 P116(194.3)=0
P1(194.4)=0 P2(194.4)=0 P115(194.4)=0 P116(194.4)=0
P1(194.5)=0 P2(194.5)=0 P115(194.5)=0 P116(194.5)=0
P1(194.6)=0 P2(194.6)=0 P115(194.6)=0 P116(194.6)=0
P1(194.7)=0 P2(194.7)=0 P115(194.7)=0 P116(194.7)=0
P1(194.8)=0 P2(194.8)=0 P115(194.8)=0 P116(194.8)=0
P1(194.9)=0 P2(194.9)=0 P115(194.9)=0 P116(194.9)=0
P1(195)=0 P2(195)=0 P115(195)=0 P116(195)=0
P1(195.1)=0 P2(195.1)=0 P115(195.1)=0 P116(195.1)=0
P1(195.2)=0 P2(195.2)=0 P115(195.2)=0 P116(195.2)=0
P1(195.3)=0 P2(195.3)=0 P115(195.3)=0 P116(195.3)=0
P1(195.4)=0 P2(195.4)=0 P115(195.4)=0 P116(195.4)=0
P1(195.5)=0 P2(195.5)=0 P115(195.5)=0 P116(195.5)=0
P1(195.6)=0 P2(195.6)=0 P115(195.6)=0 P116(195.6)=0
P1(195.7)=0 P2(195.7)=0 P115(195.7)=0 P116(195.7)=1
P1(195.8)=0 P2(195.8)=0 P115(195.8)=0 P116(195.8)=1
P1(195.9)=0 P2(195.9)=0 P115(195.9)=0 P116(195.9)=1
P1(196)=0 P2(196)=0 P115(196)=0 P116(196)=1
P1(196.1)=0 P2(196.1)=0 P115(196.1)=0 P116(196.1)=1
P1(196.2)=0 P2(196.2)=0 P115(196.2)=0 P116(196.2)=1.1
P1(196.3)=0 P2(196.3)=0 P115(196.3)=0 P116(196.3)=1.2
P1(196.4)=0 P2(196.4)=0 P115(196.4)=0 P116(196.4)=1.2
P1(196.5)=0 P2(196.5)=0 P115(196.5)=0 P116(196.5)=1.4
P1(196.6)=0 P2(196.6)=0 P115(196.6)=0 P116(196.6)=1.5
P1(196.7)=0 P2(196.7)=0 P115(196.7)=0 P116(196.7)=1.6
P1(196.8)=0 P2(196.8)=0 P115(196.8)=0 P116(196.8)=2.6
P1(196.9)=0 P2(196.9)=0 P115(196.9)=0 P116(196.9)=2.6
P1(197)=0 P2(197)=0 P115(197)=0 P116(197)=2.6
P1(197.1)=0 P2(197.1)=0 P115(197.1)=0 P116(197.1)=2.1
P1(197.2)=0 P2(197.2)=0 P115(197.2)=0 P116(197.2)=2.2
P1(197.3)=0 P2(197.3)=0 P115(197.3)=0 P116(197.3)=2.3
P1(197.4)=0 P2(197.4)=0 P115(197.4)=0 P116(197.4)=2.3
P1(197.5)=0 P2(197.5)=0 P115(197.5)=0 P116(197.5)=2.3
P1(197.6)=0 P2(197.6)=0 P115(197.6)=0 P116(197.6)=2.3
P1(197.7)=0 P2(197.7)=0 P115(197.7)=0 P116(197.7)=2.3
P1(197.8)=0 P2(197.8)=0 P115(197.8)=0 P116(197.8)=2.3
P1(197.9)=0 P2(197.9)=0 P115(197.9)=0 P116(197.9)=2.3
P1(198)=0 P2(198)=0 P115(198)=0 P116(198)=2.3
P1(198.1)=0 P2(198.1)=0 P115(198.1)=0 P116(198.1)=2.3
P1(198.2)=0 P2(198.2)=0 P115(198.2)=0 P116(198.2)=2.3
P1(198.3)=0 P2(198.3)=0 P115(198.3)=0 P116(198.3)=2.3
P1(198.4)=0 P2(198.4)=0 P115(198.4)=0 P116(198.4)=2.3
P1(198.5)=0 P2(198.5)=0 P115(198.5)=0 P116(198.5)=2.4
P1(198.6)=0 P2(198.6)=0 P115(198.6)=0 P116(198.6)=3.5
P1(198.7)=0 P2(198.7)=0 P115(198.7)=0 P116(198.7)=3.5
P1(198.8)=0 P2(198.8)=0 P115(198.8)=0 P116(198.8)=3.5
P1(198.9)=0 P2(198.9)=0 P115(198.9)=0 P116(198.9)=3.5
P1(199)=0 P2(199)=0 P115(199)=0 P116(199)=3.5
P1(199.1)=0 P2(199.1)=0 P115(199.1)=0 P116(199.1)=3.5
P1(199.2)=0 P2(199.2)=0 P115(199.2)=0 P116(199.2)=3.5
P1(199.3)=0 P2(199.3)=0 P115(199.3)=0 P116(199.3)=3.5
P1(199.4)=0 P2(199.4)=0 P115(199.4)=0 P116(199.4)=3.5
P1(199.5)=0 P2(199.5)=0 P115(199.5)=0 P116(199.5)=3.7
P1(199.6)=0 P2(199.6)=0 P115(199.6)=0 P116(199.6)=4.7
P1(199.7)=0 P2(199.7)=0 P115(199.7)=0 P116(199.7)=4.8
P1(199.8)=0 P2(199.8)=0 P115(199.8)=0 P116(199.8)=4.9
P1(199.9)=0 P2(199.9)=0 P115(199.9)=0 P116(199.9)=4.9
P1(200)=0 P2(200)=0 P115(200)=0 P116(200)=5.9
P1(200.1)=0 P2(200.1)=0 P115(200.1)=0 P116(200.1)=6
P1(200.2)=0 P2(200.2)=0 P115(200.2)=0 P116(200.2)=6.1
P1(200.3)=0 P2(200.3)=0 P115(200.3)=0 P116(200.3)=6.1
P1(200.4)=0 P2(200.4)=0 P115(200.4)=0 P116(200.4)=7.1
P1(200.5)=0 P2(200.5)=0 P115(200.5)=0 P116(200.5)=8.1
P1(200.6)=0 P2(200.6)=0 P115(200.6)=0 P116(200.6)=9.1
P1(200.7)=0 P2(200.7)=0 P115(200.7)=0 P116(200.7)=9.1
P1(200.8)=0 P2(200.8)=0 P115(200.8)=0 P116(200.8)=9.1
P1(200.9)=0 P2(200.9)=0 P115(200.9)=0 P116(200.9)=9.2
P1(201)=0 P2(201)=0 P115(201)=0 P116(201)=10.2
P1(201.1)=0 P2(201.1)=0 P115(201.1)=0 P116(201.1)=10.2
P1(201.2)=0 P2(201.2)=0 P115(201.2)=0 P116(201.2)=10.2
P1(201.3)=0 P2(201.3)=0 P115(201.3)=0 P116(201.3)=10.2
P1(201.4)=0 P2(201.4)=0 P115(201.4)=0 P116(201.4)=10.3
P1(201.5)=0 P2(201.5)=0 P115(201.5)=0 P116(201.5)=10.3
P1(201.6)=0 P2(201.6)=0 P115(201.6)=0 P116(201.6)=10.4
P1(201.7)=0 P2(201.7)=0 P115(201.7)=0 P116(201.7)=10.5
P1(201.8)=0 P2(201.8)=0 P115(201.8)=0 P116(201.8)=10.5
P1(201.9)=0 P2(201.9)=0 P115(201.9)=0 P116(201.9)=10.6
P1(202)=0 P2(202)=0 P115(202)=0 P116(202)=10.6
P1(202.1)=0 P2(202.1)=0 P115(202.1)=0 P116(202.1)=10.1
P1(202.2)=0 P2(202.2)=0 P115(202.2)=0 P116(202.2)=10.1
P1(202.3)=0 P2(202.3)=0 P115(202.3)=0 P116(202.3)=10.1
P1(202.4)=0 P2(202.4)=0 P115(202.4)=0 P116(202.4)=10.2
P1(202.5)=0 P2(202.5)=0 P115(202.5)=0 P116(202.5)=11.3
P1(202.6)=0 P2(202.6)=0 P115(202.6)=0 P116(202.6)=11.3
P1(202.7)=0 P2(202.7)=0 P115(202.7)=0 P116(202.7)=12.3
P1(202.8)=0 P2(202.8)=0 P115(202.8)=0 P116(202.8)=12.3
P1(202.9)=0 P2(202.9)=0 P115(202.9)=0 P116(202.9)=14.3
P1(203)=0 P2(203)=0 P115(203)=0 P116(203)=14.3
P1(203.1)=0 P2(203.1)=0 P115(203.1)=0 P116(203.1)=14.3
P1(203.2)=0 P2(203.2)=0 P115(203.2)=0 P116(203.2)=14.3
P1(203.3)=0 P2(203.3)=0 P115(203.3)=0 P116(203.3)=14.4
P1(203.4)=0 P2(203.4)=0 P115(203.4)=0 P116(203.4)=14.4
P1(203.5)=0 P2(203.5)=0 P115(203.5)=0 P116(203.5)=14.4
P1(203.6)=0 P2(203.6)=0 P115(203.6)=0 P116(203.6)=14.4
P1(203.7)=0 P2(203.7)=0 P115(203.7)=0 P116(203.7)=14.4
P1(203.8)=0 P2(203.8)=0 P115(203.8)=0 P116(203.8)=14.5
P1(203.9)=0 P2(203.9)=0 P115(203.9)=0 P116(203.9)=14.5
P1(204)=0 P2(204)=0 P115(204)=0 P116(204)=14.6
P1(204.1)=0 P2(204.1)=0 P115(204.1)=0 P116(204.1)=14.6
P1(204.2)=0 P2(204.2)=0 P115(204.2)=0 P116(204.2)=14.6
P1(204.3)=0 P2(204.3)=0 P115(204.3)=0 P116(204.3)=14.6
P1(204.4)=0 P2(204.4)=0 P115(204.4)=0 P116(204.4)=14.7
P1(204.5)=0 P2(204.5)=0 P115(204.5)=0 P116(204.5)=14.7
P1(204.6)=0 P2(204.6)=0 P115(204.6)=0 P116(204.6)=14.9
P1(204.7)=0 P2(204.7)=0 P115(204.7)=1 P116(204.7)=16.9
P1(204.8)=0 P2(204.8)=0 P115(204.8)=3 P116(204.8)=17
