Membrane potentials for each step (in ms) [0,10000]
P1(7.9)=18.2 P2(7.9)=0 P115(7.9)=0 P116(7.9)=17.2
P1(8)=18.3 P2(8)=0 P115(8)=0 P116(8)=17.3
P1(8.1)=19.3 P2(8.1)=0 P115(8.1)=0 P116(8.1)=17.3
P1(8.2)=19.3 P2(8.2)=0 P115(8.2)=0 P116(8.2)=17.4
P1(8.3)=19.5 P2(8.3)=0 P115(8.3)=0 P116(8.3)=17.5
P1(8.4)=19.5 P2(8.4)=0 P115(8.4)=0 P116(8.4)=17.6
P1(8.5)=20.6 P2(8.5)=0 P115(8.5)=0 P116(8.5)=17.1
P1(8.6)=0 P2(8.6)=0 P115(8.6)=0 P116(8.6)=17.3
P1(8.7)=0 P2(8.7)=0 P115(8.7)=0 P116(8.7)=15.8
P1(8.8)=0 P2(8.8)=0 P115(8.8)=0 P116(8.8)=15.8
P1(8.9)=0 P2(8.9)=0 P115(8.9)=0 P116(8.9)=15.4
P1(9)=0 P2(9)=0 P115(9)=0 P116(9)=14.9
P1(9.1)=0 P2(9.1)=0 P115(9.1)=0 P116(9.1)=14.9
P1(9.2)=0 P2(9.2)=0 P115(9.2)=0 P116(9.2)=15.4
P1(9.3)=0 P2(9.3)=0 P115(9.3)=0 P116(9.3)=15.7
P1(9.4)=0 P2(9.4)=0 P115(9.4)=0 P116(9.4)=15.3
P1(9.5)=0 P2(9.5)=0 P115(9.5)=0 P116(9.5)=16.3
P1(9.6)=0 P2(9.6)=0 P115(9.6)=0 P116(9.6)=16.4
P1(9.7)=0 P2(9.7)=0 P115(9.7)=0 P116(9.7)=16.8
P1(9.8)=0 P2(9.8)=0 P115(9.8)=0 P116(9.8)=16.9
P1(9.9)=0 P2(9.9)=0 P115(9.9)=0 P116(9.9)=18
P1(10)=0 P2(10)=0 P115(10)=0 P116(10)=18.1
P1(10.1)=0 P2(10.1)=0 P115(10.1)=0 P116(10.1)=18.1
P1(10.2)=0 P2(10.2)=0 P115(10.2)=0 P116(10.2)=17.6
P1(10.3)=0 P2(10.3)=0 P115(10.3)=0 P116(10.3)=17.7
P1(10.4)=0 P2(10.4)=0 P115(10.4)=0 P116(10.4)=18.7
P1(10.5)=0 P2(10.5)=0 P115(10.5)=0 P116(10.5)=18.9
P1(10.6)=0 P2(10.6)=0 P115(10.6)=0 P116(10.6)=19
P1(10.7)=0 P2(10.7)=0 P115(10.7)=0 P116(10.7)=19.2
P1(10.8)=0 P2(10.8)=0 P115(10.8)=0 P116(10.8)=19.5
P1(10.9)=0 P2(10.9)=0 P115(10.9)=0 P116(10.9)=19.5
P1(11)=0 P2(11)=0 P115(11)=0 P116(11)=20
P1(11.1)=0 P2(11.1)=0 P115(11.1)=0 P116(11.1)=0
P1(11.2)=0 P2(11.2)=0 P115(11.2)=0 P116(11.2)=0
P1(11.3)=0 P2(11.3)=0 P115(11.3)=0 P116(11.3)=0
P1(11.4)=0 P2(11.4)=0 P115(11.4)=0 P116(11.4)=0
P1(11.5)=0 P2(11.5)=0 P115(11.5)=0 P116(11.5)=0
P1(11.6)=0 P2(11.6)=0 P115(11.6)=0 P116(11.6)=0
